date,year,month,day,od_pair,market_country,dest_country,pax,seats_capacity,n_flights,censored_flights,naive_total_est,em_total_est,pd01_total_est,pd03_total_est,pd05_total_est,pd07_total_est,pd09_total_est
2015-01-15,2015,1,15,GB→US,GB,US,391,702,2,0,391.0,391.0,391.0,391.0,391.0,391.0,391.0
2015-01-15,2015,1,15,HK→CA,HK,CA,517,792,2,1,517.0,517.0,517.0,517.0,517.0,517.0,517.0
2015-01-15,2015,1,15,HK→US,HK,US,351,702,2,0,351.0,351.0,351.0,351.0,351.0,351.0,351.0
2015-01-15,2015,1,15,JP→CA,JP,CA,346,516,2,0,346.0,346.0,346.0,346.0,346.0,346.0,346.0
2015-01-15,2015,1,15,JP→US,JP,US,2397,2712,9,2,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0
2015-01-15,2015,1,15,KR→CA,KR,CA,393,516,2,1,393.0,393.0,393.0,393.0,393.0,393.0,393.0
2015-01-15,2015,1,15,KR→US,KR,US,1216,1614,5,0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0
2015-01-15,2015,1,15,SG→US,SG,US,633,934,4,0,633.0,633.0,633.0,633.0,633.0,633.0,633.0
2015-01-15,2015,1,15,TW→US,TW,US,912,1308,4,0,912.0,912.0,912.0,912.0,912.0,912.0,912.0
2015-01-16,2015,1,16,AE→US,AE,US,793,982,2,0,793.0,793.0,793.0,793.0,793.0,793.0,793.0
2015-01-16,2015,1,16,AU→US,AU,US,2847,3327,10,2,2847.0,2847.0,2847.0,2847.0,2847.0,2847.0,2847.0
